R56, CT.QDD0520, CT.QFD0530, CT.QFH0610, CT.QFH0620, CT.QFH0640, CT.QDI0650, CT.QFF0660, CT.QFH0680, CT.QFF0690, CT.QDF0720, CT.QFJ0730, CT.QDJ0740, CT.QFG0750
0.090, 14.865, 14.210, 18.939, 17.471, 10.603, 9.158, 50.689, 12.306, 31.622, 14.823, 38.533, 66.048, 22.415
0.095, 16.070, 14.929, 18.252, 18.099, 10.971, 9.077, 49.485, 12.372, 31.845, 12.701, 40.552, 64.998, 18.957
0.100, 15.498, 14.457, 18.875, 17.732, 10.616, 8.703, 49.887, 12.292, 31.977, 14.842, 39.837, 64.996, 20.623
0.105, 15.248, 14.561, 19.014, 17.856, 10.730, 9.112, 49.874, 12.357, 31.899, 13.705, 39.336, 66.210, 21.283
0.110, 15.437, 14.618, 19.359, 15.458, 10.557, 9.016, 50.056, 12.550, 32.035, 14.209, 39.813, 65.373, 21.841
0.115, 14.979, 14.789, 18.523, 14.798, 11.396, 9.681, 48.573, 14.069, 29.584, 9.292, 40.410, 67.195, 20.123
0.120, 16.674, 15.358, 19.429, 18.708, 10.261, 9.073, 50.760, 12.236, 32.379, 14.522, 39.256, 65.174, 20.521
0.125, 15.288, 14.548, 19.389, 17.080, 10.688, 9.076, 49.540, 12.822, 31.635, 12.755, 39.354, 65.953, 21.166
0.130, 15.856, 15.072, 19.257, 17.913, 10.736, 9.269, 49.744, 13.044, 31.225, 13.286, 39.817, 65.672, 20.125
0.135, 15.384, 14.739, 18.920, 19.405, 10.937, 9.715, 49.910, 13.710, 29.581, 10.201, 38.440, 66.680, 20.080
0.140, 15.629, 15.041, 19.443, 17.475, 10.811, 9.414, 49.279, 13.152, 31.353, 10.821, 39.372, 67.083, 20.745
0.145, 15.528, 14.900, 19.716, 16.067, 10.710, 9.270, 49.470, 13.442, 31.095, 12.903, 39.750, 65.694, 20.931
0.150, 15.380, 14.742, 19.917, 16.437, 10.577, 9.311, 50.026, 13.753, 30.403, 13.506, 39.012, 65.389, 21.377
0.155, 15.398, 14.992, 20.461, 15.588, 10.457, 8.801, 48.988, 12.685, 32.682, 14.876, 39.969, 66.375, 21.987
0.160, 15.528, 14.849, 20.191, 15.558, 10.576, 9.086, 49.046, 13.260, 31.864, 12.030, 39.495, 66.044, 21.420
0.165, 15.200, 14.598, 20.548, 18.160, 10.327, 9.019, 49.820, 13.372, 31.092, 13.753, 38.263, 66.088, 21.724
0.170, 15.314, 14.686, 20.102, 15.152, 10.678, 8.905, 48.943, 14.311, 30.101, 14.203, 40.048, 64.092, 20.295
0.175, 16.085, 15.096, 20.362, 17.038, 10.479, 9.040, 48.697, 13.068, 32.444, 9.595, 39.203, 66.694, 20.643
0.180, 15.364, 14.766, 20.643, 17.147, 10.454, 8.946, 49.002, 13.632, 31.262, 12.848, 39.026, 65.910, 21.108
0.185, 15.178, 14.826, 20.684, 17.050, 10.561, 8.955, 48.633, 13.758, 31.182, 13.273, 39.368, 66.180, 20.999
